date,obs,p,rp
1967-08-03T00:00:00Z,26,0.8016194331983806,1.6802721088435375
1968-05-21T00:00:00Z,12.9,0.1214574898785425,0.3794162826420891
1968-08-07T00:00:00Z,13.6,0.24898785425101214,0.4438454627133872
1969-06-07T00:00:00Z,17.4,0.5850202429149798,0.8032520325203253
1969-06-17T00:00:00Z,22.700000000000003,0.7489878542510121,1.3279569892473118
1969-07-31T00:00:00Z,18.099999999999998,0.6153846153846154,0.8666666666666667
1970-06-17T00:00:00Z,13.1,0.1700404858299595,0.40162601626016264
1970-08-22T00:00:00Z,13.700000000000001,0.2631578947368421,0.45238095238095233
1971-03-22T00:00:00Z,12.7,0.06882591093117409,0.35797101449275365
1971-06-02T00:00:00Z,36.800000000000004,0.9190283400809717,4.116666666666667
